A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20181101031507;2;2;13;09;2;1;6;6;99.623143409
1;20181100031507;2;2;13;09;2;1;6;6;99.623143409
1;20181100017107;2;2;13;04;1;2;6;4;25.519607901
1;20181100018507;3;2;13;98;0;1;6;1;385.55899129
1;20181100012913;2;2;13;09;8;1;6;6;163.65133432
1;20181100006388;3;2;13;98;0;1;6;1;104.04387009
1;20181100013667;2;2;13;13;1;1;6;5;82.442475534
1;20181100006386;2;2;13;09;1;2;6;6;75.085969225
1;20181000010082;3;2;13;09;0;1;6;1;113.5132676
1;20181100003142;2;2;13;09;1;1;6;3;91.108450254
2;20181100002871;2;2;13;04;1;1;1;5;25.616372281
2;20181102002874;2;2;13;04;2;1;6;4;53.69196178
1;20181101004187;2;2;13;09;1;1;6;4;167.02122322
2;20181101002876;2;2;13;04;1;1;6;3;25.637361136
1;20181100000882;2;2;13;09;6;1;6;4;284.5585924
2;20181105003208;2;2;13;09;1;1;6;4;264.70615886
