"var"	"tipo"	nulo	"llave"	"valor"
"SEXO"	"D"	NA	"1"	"VARÓN"
"SEXO"	"D"	NA	"6"	"MUJER"
"PROVNAC"	"D"	NA	"01"	"Araba/Álava"
"PROVNAC"	"D"	NA	"02"	"Albacete"
"PROVNAC"	"D"	NA	"03"	"Alicante/Alacant"
"PROVNAC"	"D"	NA	"04"	"Almería"
"PROVNAC"	"D"	NA	"05"	"Ávila"
"PROVNAC"	"D"	NA	"06"	"Badajoz"
"PROVNAC"	"D"	NA	"07"	"Balears, Illes"
"PROVNAC"	"D"	NA	"08"	"Barcelona"
"PROVNAC"	"D"	NA	"09"	"Burgos"
"PROVNAC"	"D"	NA	"10"	"Cáceres"
"PROVNAC"	"D"	NA	"11"	"Cádiz"
"PROVNAC"	"D"	NA	"12"	"Castellón/Castelló"
"PROVNAC"	"D"	NA	"13"	"Ciudad Real"
"PROVNAC"	"D"	NA	"14"	"Córdoba"
"PROVNAC"	"D"	NA	"15"	"Coruña, A"
"PROVNAC"	"D"	NA	"16"	"Cuenca"
"PROVNAC"	"D"	NA	"17"	"Girona"
"PROVNAC"	"D"	NA	"18"	"Granada"
"PROVNAC"	"D"	NA	"19"	"Guadalajara"
"PROVNAC"	"D"	NA	"20"	"Gipuzkoa"
"PROVNAC"	"D"	NA	"21"	"Huelva"
"PROVNAC"	"D"	NA	"22"	"Huesca"
"PROVNAC"	"D"	NA	"23"	"Jaén"
"PROVNAC"	"D"	NA	"24"	"León"
"PROVNAC"	"D"	NA	"25"	"Lleida"
"PROVNAC"	"D"	NA	"26"	"Rioja, La"
"PROVNAC"	"D"	NA	"27"	"Lugo"
"PROVNAC"	"D"	NA	"28"	"Madrid"
"PROVNAC"	"D"	NA	"29"	"Málaga"
"PROVNAC"	"D"	NA	"30"	"Murcia"
"PROVNAC"	"D"	NA	"31"	"Navarra"
"PROVNAC"	"D"	NA	"32"	"Ourense"
"PROVNAC"	"D"	NA	"33"	"Asturias"
"PROVNAC"	"D"	NA	"34"	"Palencia"
"PROVNAC"	"D"	NA	"35"	"Palmas, Las"
"PROVNAC"	"D"	NA	"36"	"Pontevedra"
"PROVNAC"	"D"	NA	"37"	"Salamanca"
"PROVNAC"	"D"	NA	"38"	"Santa Cruz de Tenerife"
"PROVNAC"	"D"	NA	"39"	"Cantabria"
"PROVNAC"	"D"	NA	"40"	"Segovia"
"PROVNAC"	"D"	NA	"41"	"Sevilla"
"PROVNAC"	"D"	NA	"42"	"Soria"
"PROVNAC"	"D"	NA	"43"	"Tarragona"
"PROVNAC"	"D"	NA	"44"	"Teruel"
"PROVNAC"	"D"	NA	"45"	"Toledo"
"PROVNAC"	"D"	NA	"46"	"Valencia/València"
"PROVNAC"	"D"	NA	"47"	"Valladolid"
"PROVNAC"	"D"	NA	"48"	"Bizkaia"
"PROVNAC"	"D"	NA	"49"	"Zamora"
"PROVNAC"	"D"	NA	"50"	"Zaragoza"
"PROVNAC"	"D"	NA	"51"	"Ceuta"
"PROVNAC"	"D"	NA	"52"	"Melilla"
"PROVNAC"	"D"	NA	"66"	"Extranjero"
"MUNINAC"	"D"	NA	"01001"	"Alegría-Dulantzi"
"MUNINAC"	"D"	NA	"01002"	"Amurrio"
"MUNINAC"	"D"	NA	"01049"	"Añana"
"MUNINAC"	"D"	NA	"01003"	"Aramaio"
"MUNINAC"	"D"	NA	"01006"	"Armiñón"
"MUNINAC"	"D"	NA	"01037"	"Arraia-Maeztu"
"MUNINAC"	"D"	NA	"01008"	"Arratzua-Ubarrundia"
"MUNINAC"	"D"	NA	"01004"	"Artziniega"
"MUNINAC"	"D"	NA	"01009"	"Asparrena"
"MUNINAC"	"D"	NA	"01010"	"Ayala/Aiara"
"MUNINAC"	"D"	NA	"01011"	"Baños de Ebro/Mañueta"
"MUNINAC"	"D"	NA	"01013"	"Barrundia"
"MUNINAC"	"D"	NA	"01014"	"Berantevilla"
"MUNINAC"	"D"	NA	"01016"	"Bernedo"
"MUNINAC"	"D"	NA	"01017"	"Campezo/Kanpezu"
"MUNINAC"	"D"	NA	"01021"	"Elburgo/Burgelu"
"MUNINAC"	"D"	NA	"01022"	"Elciego"
"MUNINAC"	"D"	NA	"01023"	"Elvillar/Bilar"
"MUNINAC"	"D"	NA	"01046"	"Erriberagoitia/Ribera Alta"
"MUNINAC"	"D"	NA	"01056"	"Harana/Valle de Arana"
"MUNINAC"	"D"	NA	"01901"	"Iruña Oka/Iruña de Oca"
"MUNINAC"	"D"	NA	"01027"	"Iruraiz-Gauna"
"MUNINAC"	"D"	NA	"01019"	"Kripan"
"MUNINAC"	"D"	NA	"01020"	"Kuartango"
"MUNINAC"	"D"	NA	"01028"	"Labastida/Bastida"
"MUNINAC"	"D"	NA	"01030"	"Lagrán"
"MUNINAC"	"D"	NA	"01031"	"Laguardia"
"MUNINAC"	"D"	NA	"01032"	"Lanciego/Lantziego"
"MUNINAC"	"D"	NA	"01902"	"Lantarón"
"MUNINAC"	"D"	NA	"01033"	"Lapuebla de Labarca"
"MUNINAC"	"D"	NA	"01036"	"Laudio/Llodio"
"MUNINAC"	"D"	NA	"01058"	"Legutio"
"MUNINAC"	"D"	NA	"01034"	"Leza"
"MUNINAC"	"D"	NA	"01039"	"Moreda de Álava/Moreda Araba"
"MUNINAC"	"D"	NA	"01041"	"Navaridas"
"MUNINAC"	"D"	NA	"01042"	"Okondo"
"MUNINAC"	"D"	NA	"01043"	"Oyón-Oion"
"MUNINAC"	"D"	NA	"01044"	"Peñacerrada-Urizaharra"
"MUNINAC"	"D"	NA	"01047"	"Ribera Baja/Erribera Beitia"
"MUNINAC"	"D"	NA	"01051"	"Salvatierra/Agurain"
"MUNINAC"	"D"	NA	"01052"	"Samaniego"
"MUNINAC"	"D"	NA	"01053"	"San Millán/Donemiliaga"
"MUNINAC"	"D"	NA	"01054"	"Urkabustaiz"
"MUNINAC"	"D"	NA	"01055"	"Valdegovía/Gaubea"
"MUNINAC"	"D"	NA	"01057"	"Villabuena de Álava/Eskuernaga"
"MUNINAC"	"D"	NA	"01059"	"Vitoria-Gasteiz"
"MUNINAC"	"D"	NA	"01060"	"Yécora/Iekora"
"MUNINAC"	"D"	NA	"01061"	"Zalduondo"
"MUNINAC"	"D"	NA	"01062"	"Zambrana"
"MUNINAC"	"D"	NA	"01018"	"Zigoitia"
"MUNINAC"	"D"	NA	"01063"	"Zuia"
"MUNINAC"	"D"	NA	"02001"	"Abengibre"
"MUNINAC"	"D"	NA	"02002"	"Alatoz"
"MUNINAC"	"D"	NA	"02003"	"Albacete"
"MUNINAC"	"D"	NA	"02004"	"Albatana"
"MUNINAC"	"D"	NA	"02005"	"Alborea"
"MUNINAC"	"D"	NA	"02006"	"Alcadozo"
"MUNINAC"	"D"	NA	"02007"	"Alcalá del Júcar"
"MUNINAC"	"D"	NA	"02008"	"Alcaraz"
"MUNINAC"	"D"	NA	"02009"	"Almansa"
"MUNINAC"	"D"	NA	"02010"	"Alpera"
"MUNINAC"	"D"	NA	"02011"	"Ayna"
"MUNINAC"	"D"	NA	"02012"	"Balazote"
"MUNINAC"	"D"	NA	"02014"	"Ballestero, El"
"MUNINAC"	"D"	NA	"02013"	"Balsa de Ves"
"MUNINAC"	"D"	NA	"02015"	"Barrax"
"MUNINAC"	"D"	NA	"02016"	"Bienservida"
"MUNINAC"	"D"	NA	"02017"	"Bogarra"
"MUNINAC"	"D"	NA	"02018"	"Bonete"
"MUNINAC"	"D"	NA	"02019"	"Bonillo, El"
"MUNINAC"	"D"	NA	"02020"	"Carcelén"
"MUNINAC"	"D"	NA	"02021"	"Casas de Juan Núñez"
"MUNINAC"	"D"	NA	"02022"	"Casas de Lázaro"
"MUNINAC"	"D"	NA	"02023"	"Casas de Ves"
