var	tipo	nulo	llave	"valor"
CPRO	D	NA	1	"Araba/Álava"
CPRO	D	NA	2	"Albacete"
CPRO	D	NA	3	"Alicante/Alacant"
CPRO	D	NA	4	"Almería"
CPRO	D	NA	5	"Ávila"
CPRO	D	NA	6	"Badajoz"
CPRO	D	NA	7	"Balears, Illes"
CPRO	D	NA	8	"Barcelona"
CPRO	D	NA	9	"Burgos"
CPRO	D	NA	10	"Cáceres"
CPRO	D	NA	11	"Cádiz"
CPRO	D	NA	12	"Castellón/Castelló"
CPRO	D	NA	13	"Ciudad Real"
CPRO	D	NA	14	"Córdoba"
CPRO	D	NA	15	"Coruña, A"
CPRO	D	NA	16	"Cuenca"
CPRO	D	NA	17	"Girona"
CPRO	D	NA	18	"Granada"
CPRO	D	NA	19	"Guadalajara"
CPRO	D	NA	20	"Gipuzkoa"
CPRO	D	NA	21	"Huelva"
CPRO	D	NA	22	"Huesca"
CPRO	D	NA	23	"Jaén"
CPRO	D	NA	24	"León"
CPRO	D	NA	25	"Lleida"
CPRO	D	NA	26	"Rioja, La"
CPRO	D	NA	27	"Lugo"
CPRO	D	NA	28	"Madrid"
CPRO	D	NA	29	"Málaga"
CPRO	D	NA	30	"Murcia"
CPRO	D	NA	31	"Navarra"
CPRO	D	NA	32	"Ourense"
CPRO	D	NA	33	"Asturias"
CPRO	D	NA	34	"Palencia"
CPRO	D	NA	35	"Palmas, Las"
CPRO	D	NA	36	"Pontevedra"
CPRO	D	NA	37	"Salamanca"
CPRO	D	NA	38	"Santa Cruz de Tenerife"
CPRO	D	NA	39	"Cantabria"
CPRO	D	NA	40	"Segovia"
CPRO	D	NA	41	"Sevilla"
CPRO	D	NA	42	"Soria"
CPRO	D	NA	43	"Tarragona"
CPRO	D	NA	44	"Teruel"
CPRO	D	NA	45	"Toledo"
CPRO	D	NA	46	"Valencia/Valéncia"
CPRO	D	NA	47	"Valladolid"
CPRO	D	NA	48	"Bizkaia"
CPRO	D	NA	49	"Zamora"
CPRO	D	NA	50	"Zaragoza"
CPRO	D	NA	51	"Ceuta"
CPRO	D	NA	52	"Melilla"
CMUN	D	NA	991	"Hasta 2.000 hab."
CMUN	D	NA	992	"2.001-5.000 hab."
CMUN	D	NA	993	"5.001-10.000 hab."
CMUN	D	NA	994	"10.001-20.000 hab."
IDHUECO	N	NA	NA	""
NORDEN	N	NA	NA	""
FACTOR	N	NA	NA	""
MNAC	N	NA	NA	""
ANAC	N	NA	NA	""
EDAD	N	NA	NA	""
SEXO	D	NA	1	"Hombre"
SEXO	D	NA	6	"Mujer"
NACI	D	NA	102	"Austria"
NACI	D	NA	103	"Bélgica"
NACI	D	NA	104	"Bulgaria"
NACI	D	NA	106	"Chipre"
NACI	D	NA	107	"Dinamarca"
NACI	D	NA	108	"España"
NACI	D	NA	109	"Finlandia"
NACI	D	NA	110	"Francia"
NACI	D	NA	111	"Grecia"
NACI	D	NA	112	"Hungría"
NACI	D	NA	113	"Irlanda"
NACI	D	NA	115	"Italia"
NACI	D	NA	117	"Luxemburgo"
NACI	D	NA	118	"Malta"
NACI	D	NA	121	"Países Bajos"
NACI	D	NA	122	"Polonia"
NACI	D	NA	123	"Portugal"
NACI	D	NA	125	"Reino Unido"
NACI	D	NA	126	"Alemania"
NACI	D	NA	128	"Rumanía"
NACI	D	NA	131	"Suecia"
NACI	D	NA	136	"Letonia"
NACI	D	NA	141	"Estonia"
NACI	D	NA	142	"Lituania"
NACI	D	NA	143	"República Checa"
NACI	D	NA	144	"República Eslovaca"
NACI	D	NA	146	"Croacia"
NACI	D	NA	147	"Eslovenia"
NACI	D	NA	101	"Albania"
NACI	D	NA	114	"Islandia"
NACI	D	NA	116	"Liechtenstein"
NACI	D	NA	119	"Mónaco"
NACI	D	NA	120	"Noruega"
NACI	D	NA	124	"Andorra"
NACI	D	NA	129	"San Marino"
NACI	D	NA	130	"Santa Sede"
NACI	D	NA	132	"Suiza"
NACI	D	NA	135	"Ucrania"
NACI	D	NA	137	"Moldavia"
NACI	D	NA	138	"Belarús"
NACI	D	NA	139	"Georgia"
NACI	D	NA	145	"Bosnia y Herzegovina"
NACI	D	NA	148	"Armenia"
NACI	D	NA	154	"Rusia"
NACI	D	NA	156	"Macedonia"
NACI	D	NA	157	"Serbia"
NACI	D	NA	158	"Montenegro"
NACI	D	NA	199	"Otros países de Europa"
NACI	D	NA	201	"Burkina Faso"
NACI	D	NA	202	"Angola"
NACI	D	NA	203	"Argelia"
NACI	D	NA	204	"Benin"
NACI	D	NA	205	"Botswana"
NACI	D	NA	206	"Burundi"
NACI	D	NA	207	"Cabo Verde"
NACI	D	NA	208	"Camerún"
NACI	D	NA	209	"Comores"
NACI	D	NA	210	"Congo"
NACI	D	NA	211	"Costa de Marfil"
NACI	D	NA	212	"Djibouti"
NACI	D	NA	213	"Egipto"
NACI	D	NA	214	"Etiopía"
NACI	D	NA	215	"Gabón"
NACI	D	NA	216	"Gambia"
NACI	D	NA	217	"Ghana"
NACI	D	NA	218	"Guinea"
NACI	D	NA	219	"Guinea-Bissau"
NACI	D	NA	220	"Guinea Ecuatorial"
NACI	D	NA	221	"Kenia"
NACI	D	NA	222	"Lesotho"
NACI	D	NA	223	"Liberia"
NACI	D	NA	224	"Libia"
NACI	D	NA	225	"Madagascar"
NACI	D	NA	226	"Malawi"
NACI	D	NA	227	"Mali"
NACI	D	NA	228	"Marruecos"
NACI	D	NA	229	"Mauricio"
NACI	D	NA	230	"Mauritania"
NACI	D	NA	231	"Mozambique"
NACI	D	NA	232	"Namibia"
