var	start	end	width	descr
ORDENCCC	1	8	8	NÚMERO DE ORDEN DEL CENTRO DE COTIZACIÓN
ORDENTRA	9	10	2	NÚMERO DE ORDEN DEL TRABAJADOR
NUTS1	11	11	1	NUTS1
CNACE	12	13	2	CÓDIGO ACTIVIDAD ECONOMICA
ESTRATO2	14	14	1	TAMAÑO DE LA UNIDAD 
CONTROL	15	15	1	PROPIEDAD O CONTROL 
MERCADO	16	16	1	MERCADO
REGULACION	17	17	1	FORMA DE REGULACIÓN DE LAS RELACIONES LABORALES
SEXO	18	18	1	SEXO
TIPOPAIS	19	19	1	NACIONALIDAD
CNO1	20	21	2	CODIGO DE OCUPACION
RESPONSA	22	22	1	RESPONSABILIDAD EN ORGANIZACIÓN Y/O SUPERVISION
ESTU	23	23	1	CODIGO DE LA TITULACION
ANOANTI	24	25	2	AÑOS DE ANTIGÜEDAD
MESANTI	26	27	2	MESES DE ANTIGÜEDAD
TIPOJOR	28	28	1	TIPO DE JORNADA
TIPOCON	29	29	1	DURACION DEL CONTRATO
FIJODISM	30	31	2	MESES DEL PERÍODO DE TRABAJO DEL TRABAJADOR FIJO DISCONTINUO
FIJODISD	32	33	2	DÍAS DEL PERÍODO DE TRABAJO DEL TRABAJADOR FIJO DISCONTINUO
VAL	34	35	2	DIAS DE VACACIONES ANUALES LABORABLES
VAN	36	37	2	DIAS DE VACACIONES ANUALES NATURALES
PUENTES	38	39	2	FIESTAS NO OFICIALES
JAP	40	43	4	JORNADA ANUAL PACTADA
JSP1	44	45	2	JORNADA SEMANAL PACTADA  (HORAS)
JSP2	46	47	2	JORNADA SEMANAL PACTADA  (MINUTOS)
HEXTRA	48	50	3	HORAS EXTRAORDINARIAS 
DRELABM	51	52	2	DURACIÓN DE LA RELACIÓN LABORAL EN EL MES DE OCTUBRE
SIESPM1	53	53	1	SITUACIÓN ESPECIAL 1 EN EL MES DE OCTUBRE
DSIESPM1	54	55	2	DÍAS EN SITUACIÓN ESPECIAL 1 EN EL MES DE OCTUBRE
SIESPM2	56	56	1	SITUACIÓN ESPECIAL 2 EN EL MES DE OCTUBRE
DSIESPM2	57	58	2	DÍAS EN SITUACIÓN ESPECIAL 2 EN EL MES DE OCTUBRE
SALBASE	59	67	9	SALARIO BASE 
EXTRAORM	68	76	9	PAGA EXTRAORDINARIA MENSUAL
PHEXTRA	77	85	9	PAGOS POR HORAS EXTRAORDINARIAS
COMSAL	86	94	9	COMPLEMENTOS SALARIALES
COMSALTT	95	103	9	COMPLEMENTOS SALARIALES POR TURNO DE TRABAJO
IRPFMES	104	112	9	RETENCIONES IRPF EN EL MES DE OCTUBRE
COTIZA	113	118	6	CONTRIBUCIONES A LA SEGURIDAD SOCIAL
BASE	119	125	7	BASE DE COTIZACIÓN  A LA SEGURIDAD SOCIAL POR CONTINGENCIAS COMUNES DEL TRABAJADOR
DRELABAM	126	127	2	DURACIÓN DE LA RELACIÓN LABORAL EN EL AÑO (MESES)
DRELABAD	128	129	2	DURACIÓN DE LA RELACIÓN LABORAL EN EL AÑO (DÍAS)
SIESPA1	130	130	1	SITUACIÓN ESPECIAL 1 EN EL AÑO
DSIESPA1	131	133	3	DÍAS EN SITUACIÓN ESPECIAL 1 EN AÑO
SIESPA2	134	134	1	SITUACIÓN ESPECIAL 2 EN EL AÑO
DSIESPA2	135	137	3	DÍAS EN SITUACIÓN ESPECIAL 2 EN AÑO
SIESPA3	138	138	1	SITUACIÓN ESPECIAL 3 EN EL AÑO
DSIESPA3	139	141	3	DÍAS EN SITUACIÓN ESPECIAL 3 EN AÑO
SIESPA4	142	142	1	SITUACIÓN ESPECIAL 4 EN EL AÑO
DSIESPA4	143	145	3	DÍAS EN SITUACIÓN ESPECIAL 4 EN AÑO
SALBRUTO	146	155	10	SALARIO BRUTO ANUAL
GEXTRA	156	164	9	PAGOS EXTRAORDINARIOS VARIABLES
VESP	165	173	9	VALORACION EN ESPECIE
ANOS2	174	175	2	EDAD
FACTOTAL	176	187	12	FACTOR
