"var"	"tipo"	"nulo"	"llave"	"valor"
"CICLO"	"N"	NA	NA	""
"CCAA"	"D"	NA	"1"	"Andalucía"
"CCAA"	"D"	NA	"2"	"Aragón"
"CCAA"	"D"	NA	"3"	"Asturias (Principado de)"
"CCAA"	"D"	NA	"4"	"Baleares (Islas)"
"CCAA"	"D"	NA	"5"	"Canarias"
"CCAA"	"D"	NA	"6"	"Cantabria"
"CCAA"	"D"	NA	"7"	"Castilla-León"
"CCAA"	"D"	NA	"8"	"Castilla-La Mancha"
"CCAA"	"D"	NA	"9"	"Cataluña"
"CCAA"	"D"	NA	"10"	"Comunidad Valenciana"
"CCAA"	"D"	NA	"11"	"Extremadura"
"CCAA"	"D"	NA	"12"	"Galicia"
"CCAA"	"D"	NA	"13"	"Madrid (Comunidad de)"
"CCAA"	"D"	NA	"14"	"Murcia (Región de) "
"CCAA"	"D"	NA	"15"	"Navarra (Comunidad Foral de)"
"CCAA"	"D"	NA	"16"	"País Vasco"
"CCAA"	"D"	NA	"17"	"Rioja (La)"
"CCAA"	"D"	NA	"51"	"Ceuta "
"CCAA"	"D"	NA	"52"	"Melilla "
"PROV"	"D"	NA	"1"	"Álava"
"PROV"	"D"	NA	"2"	"Albacete"
"PROV"	"D"	NA	"3"	"Alicante"
"PROV"	"D"	NA	"4"	"Almería"
"PROV"	"D"	NA	"5"	"Ávila"
"PROV"	"D"	NA	"6"	"Badajoz"
"PROV"	"D"	NA	"7"	"Baleares (Illes)"
"PROV"	"D"	NA	"8"	"Barcelona"
"PROV"	"D"	NA	"9"	"Burgos"
"PROV"	"D"	NA	"10"	"Cáceres"
"PROV"	"D"	NA	"11"	"Cádiz"
"PROV"	"D"	NA	"12"	"Castellón"
"PROV"	"D"	NA	"13"	"Ciudad Real"
"PROV"	"D"	NA	"14"	"Córdoba"
"PROV"	"D"	NA	"15"	"Coruña (La)"
"PROV"	"D"	NA	"16"	"Cuenca"
"PROV"	"D"	NA	"17"	"Girona"
"PROV"	"D"	NA	"18"	"Granada"
"PROV"	"D"	NA	"19"	"Guadalajara"
"PROV"	"D"	NA	"20"	"Guipúzcoa"
"PROV"	"D"	NA	"21"	"Huelva"
"PROV"	"D"	NA	"22"	"Huesca"
"PROV"	"D"	NA	"23"	"Jaén"
"PROV"	"D"	NA	"24"	"León"
"PROV"	"D"	NA	"25"	"Lleida"
"PROV"	"D"	NA	"26"	"Rioja (La)"
