"var"	"tipo"	"nulo"	"llave"	"valor"
"ANOENC"	"N"	NA	NA	""
"NUMERO"	"N"	NA	NA	""
"CODIGO"	"D"	NA	"1111"	"ARROZ"
"CODIGO"	"D"	NA	"1112"	"PAN"
"CODIGO"	"D"	NA	"1113"	"OTROS PRODUCTOS DE PANADERÍA"
"CODIGO"	"D"	NA	"1114"	"PASTAS ALIMENTICIAS"
"CODIGO"	"D"	NA	"1115"	"PRODUCTOS DE PASTELERÍA Y MASAS COCINADAS"
"CODIGO"	"D"	NA	"1116"	"SANDWICH"
"CODIGO"	"D"	NA	"1117"	"OTROS PRODUCTOS ELABORADOS CON CEREALES, NO RECOGIDOS "
"CODIGO"	"D"	NA	"1121"	"CARNE DE BOVINO FRESCA, REFRIGERADA O CONGELADA"
"CODIGO"	"D"	NA	"1122"	"CARNE DE PORCINO FRESCA, REFRIGERADA O CONGELADA"
"CODIGO"	"D"	NA	"1123"	"CARNE DE OVINO Y CAPRINO FRESCA, REFRIGERADA O CONGELADA"
"CODIGO"	"D"	NA	"1124"	"CARNE DE AVE FRESCA, REFRIGERADA O CONGELADA"
"CODIGO"	"D"	NA	"1125"	"CHARCUTERÍA Y CARNE SECA, SALADA O AHUMADA"
"CODIGO"	"D"	NA	"1126"	"CARNES PREPARADAS Y OTROS PRODUCTOS CONTENIENDO "
"CODIGO"	"D"	NA	"1127"	"OTRAS CARNES COMESTIBLES (FRESCAS Y CONGELADAS)"
"CODIGO"	"D"	NA	"1128"	"DESPOJOS, MENUDILLOS Y CASQUERÍA"
"CODIGO"	"D"	NA	"1131"	"PESCADOS FRESCOS O REFRIGERADOS"
"CODIGO"	"D"	NA	"1132"	"PESCADOS CONGELADOS. "
"CODIGO"	"D"	NA	"1133"	"CRUSTÁCEOS Y MOLUSCOS FRESCOS, REFRIGERADOS O CONGELADOS"
"CODIGO"	"D"	NA	"1134"	"PESCADOS Y MARISCOS SECOS, AHUMADOS O SALADOS"
"CODIGO"	"D"	NA	"1135"	"OTROS PESCADOS Y MARISCOS PROCESADOS O CONSERVADOS Y PREPARADOS DE PESCADOS Y MARISCOS"
"CODIGO"	"D"	NA	"1141"	"LECHE ENTERA"
"CODIGO"	"D"	NA	"1142"	"LECHE SEMIDESCREMADA Y DESCREMADA"
"CODIGO"	"D"	NA	"1143"	"LECHE CONSERVADA"
"CODIGO"	"D"	NA	"1144"	"YOGURES Y LECHES FERMENTADAS"
"CODIGO"	"D"	NA	"1145"	"QUESO Y REQUESÓN"
"CODIGO"	"D"	NA	"1146"	"OTROS PRODUCTOS A BASE DE LECHE"
"CODIGO"	"D"	NA	"1147"	"HUEVOS"
"CODIGO"	"D"	NA	"1151"	"MANTEQUILLA"
"CODIGO"	"D"	NA	"1152"	"MARGARINA Y OTRAS GRASAS VEGETALES"
"CODIGO"	"D"	NA	"1153"	"ACEITE DE OLIVA"
"CODIGO"	"D"	NA	"1154"	"OTROS ACEITES COMESTIBLES"
"CODIGO"	"D"	NA	"1155"	"OTRAS GRASAS ANIMALES"
"CODIGO"	"D"	NA	"1161"	"CÍTRICOS (FRESCOS, REFRIGERADOS O CONGELADOS)"
"CODIGO"	"D"	NA	"1162"	"PLÁTANOS (FRESCOS, REFRIGERADOS O CONGELADOS)"
"CODIGO"	"D"	NA	"1163"	"MANZANAS (FRESCAS, REFRIGERADAS O CONGELADAS)"
"CODIGO"	"D"	NA	"1164"	"PERAS (FRESCAS, REFRIGERADAS O CONGELADAS)"
"CODIGO"	"D"	NA	"1165"	"FRUTAS CON HUESO (FRESCAS, REFRIGERADAS O CONGELADAS)"
"CODIGO"	"D"	NA	"1166"	"ACEITUNAS"
"CODIGO"	"D"	NA	"1167"	"BAYAS (FRESCAS, REFRIGERADAS O CONGELADAS)"
"CODIGO"	"D"	NA	"1168"	"OTRAS FRUTAS (FRESCAS, REFRIGERADAS O CONGELADAS)"
"CODIGO"	"D"	NA	"1169"	"FRUTOS SECOS"
"CODIGO"	"D"	NA	"1160"	"FRUTAS PREPARADAS Y  EN CONSERVA"
"CODIGO"	"D"	NA	"1171"	"HORTALIZAS DE HOJA O DE TALLO (FRESCAS O REFRIGERADAS)"
"CODIGO"	"D"	NA	"1172"	"COLES (FRESCAS O REFRIGERADAS)"
"CODIGO"	"D"	NA	"1173"	"HORTALIZAS CULTIVADAS POR SU FRUTO (FRESCAS O REFRIGERADAS)"
"CODIGO"	"D"	NA	"1174"	"HORTALIZAS CON RAÍZ O BULBO Y SETAS (FRESCAS O REFRIGERADAS)"
"CODIGO"	"D"	NA	"1175"	"LEGUMBRES Y HORTALIZAS SECAS"
"CODIGO"	"D"	NA	"1176"	"VERDURAS CONGELADAS"
"CODIGO"	"D"	NA	"1177"	"LEGUMBRES Y HORTALIZAS EN CONSERVA O PREPARADAS Y OTROS PRODUCTOS A BASE DE LEGUMBRES Y HORTALIZAS"
"CODIGO"	"D"	NA	"1178"	"PATATAS"
"CODIGO"	"D"	NA	"1179"	"PRODUCTOS DERIVADOS DE LAS PATATAS, MANDIOCA Y OTROS TUBÉRCULOS"
"CODIGO"	"D"	NA	"1181"	"AZÚCAR"
"CODIGO"	"D"	NA	"1182"	"CONFITURA, MERMELADA Y MIEL"
"CODIGO"	"D"	NA	"1183"	"CHOCOLATE EN BARRA O EN TABLETA"
"CODIGO"	"D"	NA	"1184"	"CONFITERÍA"
"CODIGO"	"D"	NA	"1185"	"HELADOS"
"CODIGO"	"D"	NA	"1186"	"OTROS PRODUCTOS A BASE DE AZÚCAR"
"CODIGO"	"D"	NA	"1191"	"SALSAS Y CONDIMENTOS"
"CODIGO"	"D"	NA	"1192"	"SAL, ESPECIAS Y HIERBAS CULINARIAS"
"CODIGO"	"D"	NA	"1193"	"SOPAS, PREPARADOS PARA POSTRES Y LEVADURA"
"CODIGO"	"D"	NA	"1194"	"ALIMENTOS PARA BEBÉ"
"CODIGO"	"D"	NA	"1195"	"PRODUCTOS DIETÉTICOS"
"CODIGO"	"D"	NA	"1196"	"OTROS PRODUCTOS ALIMENTICIOS NO DECLARADOS ANTERIORMENTE"
"CODIGO"	"D"	NA	"1211"	"CAFÉ"
"CODIGO"	"D"	NA	"1212"	"TÉ E INFUSIONES"
"CODIGO"	"D"	NA	"1213"	"CACAO"
"CODIGO"	"D"	NA	"1221"	"AGUA MINERAL"
"CODIGO"	"D"	NA	"1222"	"BEBIDAS REFRESCANTES CON O SIN GAS"
"CODIGO"	"D"	NA	"1223"	"ZUMOS DE FRUTAS"
"CODIGO"	"D"	NA	"1224"	"ZUMOS DE VEGETALES"
"CODIGO"	"D"	NA	"2111"	"ESPIRITUOSOS Y LICORES"
"CODIGO"	"D"	NA	"2121"	"VINOS DE UVA Y OTRAS FRUTAS FERMENTADAS"
"CODIGO"	"D"	NA	"2122"	"OTROS VINOS"
"CODIGO"	"D"	NA	"2131"	"CERVEZA"
"CODIGO"	"D"	NA	"2211"	"CIGARRILLOS"
"CODIGO"	"D"	NA	"2212"	"PUROS Y PEQUEÑOS CIGARROS"
"CODIGO"	"D"	NA	"2213"	"OTROS TABACOS"
"CODIGO"	"D"	NA	"2311"	"NARCÓTICOS"
"CODIGO"	"D"	NA	"3111"	"TELAS"
"CODIGO"	"D"	NA	"3121"	"ROPA PARA HOMBRE CONFECCIONADA O HECHA A MEDIDA. PRENDAS EXTERIORES DE ABRIGO Y LLUVIA, TRAJES Y OTRAS PRENDAS"
"CODIGO"	"D"	NA	"3122"	"ROPA DE MUJER CONFECCIONADA O HECHA A MEDIDA. PRENDAS EXTERIORES DE ABRIGO Y LLUVIA,  TRAJES, VESTIDOS Y OTRAS PRENDAS"
"CODIGO"	"D"	NA	"3123"	"ROPA PARA NIÑOS (DE 2 A 13 AÑOS) Y BEBÉS (MENOS DE 2 AÑOS)CONFECCIONADA O HECHA A MEDIDA"
"CODIGO"	"D"	NA	"3131"	"ARTÍCULOS DE MERCERÍA"
"CODIGO"	"D"	NA	"3132"	"OTROS ARTÍCULOS, COMPLEMENTOS Y ACCESORIOS DE VESTIR (QUE NO SEAN DE MERCERÍA, NI SE UTILICEN PARA PRACTICAR DEPORTES)"
"CODIGO"	"D"	NA	"3141"	"REPARACIÓN, LIMPIEZA Y ALQUILER DE ROPA DE VESTIR"
