var	start	end	width	descr
ANOENC	1	4	4	Año de la encuesta
NUMERO	5	9	5	Número secuencial que indica el orden del hogar en el fichero
CCAA	10	11	2	Comunidad autónoma de residencia
NUTS1	12	12	1	Región
CAPROV	13	13	1	Capital de provincia
TAMAMU	14	14	1	Tamaño del municipio
DENSI	15	15	1	Densidad de población (Modificada en 2011)
CLAVE	16	16	1	Clave de colaboración efectiva del hogar
CLATEO	17	17	1	Clave de colaboración teórica del hogar 
FACTOR	18	28	11	Factor poblacional 
NMIEMB	29	30	2	Número de miembros del hogar
TAMANO	31	31	1	Tamaño del hogar
NMIEMSD	32	33	2	Número de miembros del hogar que pertenecen al servicio doméstico
NMIEMHU	34	35	2	Número de miembros del hogar que son huéspedes 
NMIEMIN	36	37	2	Número de miembros del hogar que son invitados 
NMIEM1	38	39	2	Número de miembros del hogar de 14 o más años
NMIEM2	40	41	2	Número de miembros del hogar menores de 14 años 
NMIEM3	42	43	2	Número de miembros del hogar menores de 16 años 
NMIEM4	44	45	2	Número de miembros del hogar de 16 o más años 
NMIEM5	46	47	2	Número de miembros del hogar menores de 18 años 
NMIEM6	48	49	2	Número de miembros del hogar de 18 o más años
NMIEM7	50	51	2	Número de miembros del hogar de 0 a 4 años
NMIEM8	52	53	2	Número de miembros del hogar de 5 a 15 años
NMIEM9	54	55	2	Número de miembros del hogar de 16 a 24 años
NMIEM10	56	57	2	Número de miembros del hogar de 25 a 34 años
NMIEM11	58	59	2	Número de miembros del hogar de 35 a 64 años
NMIEM12	60	61	2	Número de miembros del hogar de 65 a 84 años
NMIEM13	62	63	2	Número de miembros del hogar de 85 o más años
NUMACTI	64	65	2	Número de miembros activos en el hogar
NUMINACTI	66	67	2	Número de miembros no activos en el hogar
NUMOCU	68	69	2	Número de miembros ocupados en el hogar
NUMNOCU	70	71	2	Número de miembros no ocupados en el hogar
NUMESTU	72	73	2	Número de estudiantes en el hogar
NUMNOESTU	74	75	2	Número de no estudiantes en el hogar
NNINOSD	76	77	2	Número de niños dependientes (Ver definición en la variable TIPOHOGAR3)
NHIJOSD	78	79	2	Número de hijos dependientes (Ver definición en la variable TIPOHOGAR4)
UC1	80	82	3	Tamaño equivalente del hogar. Escala OCDE (1 + 0,7 * (NMIEM1 - 1) + 0,5 *  NMIEM2)
UC2	83	85	3	Tamaño equivalente del hogar. Escala OCDE modificada (1 + 0,5 * (NMIEM1- 1) + 0,3 * NMIEM2 )
PF2TEO	86	87	2	Número de libretas de cuentas individuales teóricas 
PF2RECO	88	89	2	Número de libretas de cuentas individuales recogidas
TIPHOGAR1	90	91	2	Tipo de hogar (primera clasificación)  
