"var"	"tipo"	"nulo"	"llave"	"valor"
"ANOENC"	"N"	NA	NA	""
"NUMERO"	"N"	NA	NA	""
"CCAA"	"D"	NA	"1"	"Andalucía"
"CCAA"	"D"	NA	"2"	"Aragón"
"CCAA"	"D"	NA	"3"	"Asturias, Principado de"
"CCAA"	"D"	NA	"4"	"Balears, Illes"
"CCAA"	"D"	NA	"5"	"Canarias"
"CCAA"	"D"	NA	"6"	"Cantabria"
"CCAA"	"D"	NA	"7"	"Castilla y León"
"CCAA"	"D"	NA	"8"	"Castilla – La Mancha"
"CCAA"	"D"	NA	"9"	"Cataluña"
"CCAA"	"D"	NA	"10"	"Comunitat Valenciana"
"CCAA"	"D"	NA	"11"	"Extremadura"
"CCAA"	"D"	NA	"12"	"Galicia"
"CCAA"	"D"	NA	"13"	"Madrid, Comunidad de"
"CCAA"	"D"	NA	"14"	"Murcia, Región de"
"CCAA"	"D"	NA	"15"	"Navarra, Comunidad Foral de"
"CCAA"	"D"	NA	"16"	"País Vasco"
"CCAA"	"D"	NA	"17"	"Rioja, La"
"CCAA"	"D"	NA	"18"	"Ceuta"
"CCAA"	"D"	NA	"19"	"Melilla"
"NUTS1"	"D"	NA	"1"	"Noroeste"
"NUTS1"	"D"	NA	"2"	"Noreste"
"NUTS1"	"D"	NA	"3"	"Comunidad de Madrid"
"NUTS1"	"D"	NA	"4"	"Central"
"NUTS1"	"D"	NA	"5"	"Este"
"NUTS1"	"D"	NA	"6"	"Sur"
"NUTS1"	"D"	NA	"7"	"Canarias"
"CAPROV"	"D"	NA	"1"	"Sí"
"CAPROV"	"D"	NA	"6"	"No"
"TAMAMU"	"D"	NA	"1"	"Municipio de 100.000 habitantes o más"
"TAMAMU"	"D"	NA	"2"	"Municipio con 50.000 o más y menos 100.000 habitantes"
"TAMAMU"	"D"	NA	"3"	"Municipio con 20.000 o más y menos de 50.000 habitantes"
"TAMAMU"	"D"	NA	"4"	"Municipio con 10.000 o más y menos de 20.000 habitantes"
"TAMAMU"	"D"	NA	"5"	"Municipio con menos de 10.000 habitantes"
"DENSI"	"D"	NA	"1"	"Zona densamente poblada"
"DENSI"	"D"	NA	"2"	"Zona intermedia"
"DENSI"	"D"	NA	"3"	"Zona diseminada"
"CLAVE"	"D"	NA	"1"	"Primera"
"CLAVE"	"D"	NA	"2"	"Segunda"
"CLATEO"	"D"	NA	"1"	"Primera"
"CLATEO"	"D"	NA	"2"	"Segunda"
"FACTOR"	"N"	NA	NA	""
"NMIEMB"	"N"	NA	NA	""
"TAMANO"	"D"	NA	"1"	"Una persona"
"TAMANO"	"D"	NA	"2"	"Dos personas"
"TAMANO"	"D"	NA	"3"	"Tres personas"
"TAMANO"	"D"	NA	"4"	"Cuatro personas"
"TAMANO"	"D"	NA	"5"	"Cinco personas"
"TAMANO"	"D"	NA	"6"	"Seis o más personas"
"NMIEMSD"	"N"	NA	NA	""
"NMIEMHU"	"N"	NA	NA	""
"NMIEMIN"	"N"	NA	NA	""
"NMIEM1"	"N"	NA	NA	""
"NMIEM2"	"N"	NA	NA	""
"NMIEM3"	"N"	NA	NA	""
"NMIEM4"	"N"	NA	NA	""
"NMIEM5"	"N"	NA	NA	""
"NMIEM6"	"N"	NA	NA	""
"NMIEM7"	"N"	NA	NA	""
"NMIEM8"	"N"	NA	NA	""
"NMIEM9"	"N"	NA	NA	""
"NMIEM10"	"N"	NA	NA	""
"NMIEM11"	"N"	NA	NA	""
"NMIEM12"	"N"	NA	NA	""
"NMIEM13"	"N"	NA	NA	""
"NUMACTI"	"N"	NA	NA	""
"NUMINACTI"	"N"	NA	NA	""
"NUMOCU"	"N"	NA	NA	""
"NUMNOCU"	"N"	NA	NA	""
"NUMESTU"	"N"	NA	NA	""
"NUMNOESTU"	"N"	NA	NA	""
"NNINOSD"	"N"	NA	NA	""
"NHIJOSD"	"N"	NA	NA	""
"UC1"	"N"	NA	NA	""
"UC2"	"N"	NA	NA	""
"PF2TEO"	"N"	NA	NA	""
"PF2RECO"	"N"	NA	NA	""
"TIPHOGAR1"	"D"	NA	"1"	"Una persona de 65 o más años"
"TIPHOGAR1"	"D"	NA	"2"	"Una persona de 30 a 64 años"
"TIPHOGAR1"	"D"	NA	"3"	"Una persona de menos de 30 años"
"TIPHOGAR1"	"D"	NA	"4"	"Un adulto con niños menores de 16 años"
"TIPHOGAR1"	"D"	NA	"5"	"Pareja sin hijos teniendo al menos uno de los miembros 65 años o más"
"TIPHOGAR1"	"D"	NA	"6"	"Pareja sin hijos teniendo los dos miembros menos de 65 años"
"TIPHOGAR1"	"D"	NA	"7"	"Pareja con un hijo menor de 16 años"
"TIPHOGAR1"	"D"	NA	"8"	"Pareja con dos hijos menores de 16 años"
"TIPHOGAR1"	"D"	NA	"9"	"Pareja con tres o más hijos menores de 16 años"
"TIPHOGAR1"	"D"	NA	"10"	"Padre o madre solo, con al menos un hijo de 16 o más años"
"TIPHOGAR1"	"D"	NA	"11"	"Pareja con al menos un hijo de 16 o más años"
"TIPHOGAR1"	"D"	NA	"12"	"Otros hogares"
"TIPHOGAR2"	"D"	NA	"1"	"Una persona de 65 o más años"
"TIPHOGAR2"	"D"	NA	"2"	"Una persona de 30 a 64 años"
"TIPHOGAR2"	"D"	NA	"3"	"Una persona de menos de 30 años"
"TIPHOGAR2"	"D"	NA	"4"	"Un adulto con niños menores de 18 años"
"TIPHOGAR2"	"D"	NA	"5"	"Pareja sin hijos teniendo al menos uno de los miembros 65 años o más"
"TIPHOGAR2"	"D"	NA	"6"	"Pareja sin hijos teniendo los dos miembros menos de 65 años"
"TIPHOGAR2"	"D"	NA	"7"	"Pareja con un hijo menor de 18 años"
"TIPHOGAR2"	"D"	NA	"8"	"Pareja con dos hijos menores de 18 años"
"TIPHOGAR2"	"D"	NA	"9"	"Pareja con tres o más hijos menores de 18 años"
"TIPHOGAR2"	"D"	NA	"10"	"Padre o madre solo, con al menos un hijo de 18 o más años"
"TIPHOGAR2"	"D"	NA	"11"	"Pareja con al menos un hijo de 18 o más años"
"TIPHOGAR2"	"D"	NA	"12"	"Otros hogares"
"TIPHOGAR3"	"D"	NA	"1"	"De 65 o más años "
"TIPHOGAR3"	"D"	NA	"2"	"De 30 a 64 años "
"TIPHOGAR3"	"D"	NA	"3"	"De menos de 30 años "
"TIPHOGAR3"	"D"	NA	"4"	"Pareja sin niños dependientes teniendo al menos uno de los miembros 65 años o más "
"TIPHOGAR3"	"D"	NA	"5"	"Pareja sin  niños dependientes teniendo los dos miembros menos  de 65 años"
"TIPHOGAR3"	"D"	NA	"6"	"Pareja con un niño dependiente "
"TIPHOGAR3"	"D"	NA	"7"	"Pareja con dos niños dependientes "
"TIPHOGAR3"	"D"	NA	"8"	"Pareja con tres o más niños dependientes "
"TIPHOGAR3"	"D"	NA	"9"	"Padre o madre solo, con al menos un niño dependiente"
"TIPHOGAR3"	"D"	NA	"10"	"Otros hogares"
"TIPHOGAR3"	"D"	NA	"1"	"Una persona: hombre de menos de 65 años"
"TIPHOGAR3"	"D"	NA	"2"	"Una persona: hombre de 65 o más años"
"TIPHOGAR4"	"D"	NA	"3"	"Una persona: mujer de menos de 65 años"
"TIPHOGAR4"	"D"	NA	"4"	"Una persona: mujer de 65 o más años "
"TIPHOGAR4"	"D"	NA	"5"	"Dos adultos sin hijos dependientes económicamente, al menos una persona de 65 o más años "
"TIPHOGAR4"	"D"	NA	"6"	"Dos adultos sin hijos dependientes económicamente, teniendo ambos menos de 65 años "
"TIPHOGAR4"	"D"	NA	"7"	"Otros hogares sin hijos dependientes económicamente "
"TIPHOGAR4"	"D"	NA	"8"	"Un adulto con al menos un hijo dependiente "
"TIPHOGAR4"	"D"	NA	"9"	"Dos adultos con un hijo dependiente "
"TIPHOGAR4"	"D"	NA	"10"	"Dos adultos con dos hijos dependientes "
"TIPHOGAR4"	"D"	NA	"11"	"Dos adultos con tres o más hijos dependientes "
"TIPHOGAR4"	"D"	NA	"12"	"Otros hogares con hijos dependientes "
"TIPHOGAR4"	"D"	NA	"1"	"Una persona: hombre de menos de 65 años "
"TIPHOGAR4"	"D"	NA	"2"	"Una persona: hombre de 65 o más años "
"TIPHOGAR5"	"D"	NA	"3"	"Una persona: mujer de menos de 65 años "
