"var"	"tipo"	"nulo"	"llave"	"valor"
"CPRO"	"D"	"NA"	"01"	"Araba/Álava"
"CPRO"	"D"	"NA"	"02"	"Albacete"
"CPRO"	"D"	"NA"	"03"	"Alicante/Alacant"
"CPRO"	"D"	"NA"	"04"	"Almería"
"CPRO"	"D"	"NA"	"05"	"Ávila"
"CPRO"	"D"	"NA"	"06"	"Badajoz"
"CPRO"	"D"	"NA"	"07"	"Balears, Illes"
"CPRO"	"D"	"NA"	"08"	"Barcelona"
"CPRO"	"D"	"NA"	"09"	"Burgos"
"CPRO"	"D"	"NA"	"10"	"Cáceres"
"CPRO"	"D"	"NA"	"11"	"Cádiz"
"CPRO"	"D"	"NA"	"12"	"Castellón/Castelló"
"CPRO"	"D"	"NA"	"13"	"Ciudad Real"
"CPRO"	"D"	"NA"	"14"	"Córdoba"
"CPRO"	"D"	"NA"	"15"	"Coruña, A"
"CPRO"	"D"	"NA"	"16"	"Cuenca"
"CPRO"	"D"	"NA"	"17"	"Girona"
"CPRO"	"D"	"NA"	"18"	"Granada"
"CPRO"	"D"	"NA"	"19"	"Guadalajara"
"CPRO"	"D"	"NA"	"20"	"Gipuzkoa"
"CPRO"	"D"	"NA"	"21"	"Huelva"
"CPRO"	"D"	"NA"	"22"	"Huesca"
"CPRO"	"D"	"NA"	"23"	"Jaén"
"CPRO"	"D"	"NA"	"24"	"León"
"CPRO"	"D"	"NA"	"25"	"Lleida"
"CPRO"	"D"	"NA"	"26"	"Rioja, La"
"CPRO"	"D"	"NA"	"27"	"Lugo"
"CPRO"	"D"	"NA"	"28"	"Madrid"
"CPRO"	"D"	"NA"	"29"	"Málaga"
"CPRO"	"D"	"NA"	"30"	"Murcia"
"CPRO"	"D"	"NA"	"31"	"Navarra"
"CPRO"	"D"	"NA"	"32"	"Ourense"
"CPRO"	"D"	"NA"	"33"	"Asturias"
"CPRO"	"D"	"NA"	"34"	"Palencia"
"CPRO"	"D"	"NA"	"35"	"Palmas, Las"
"CPRO"	"D"	"NA"	"36"	"Pontevedra"
"CPRO"	"D"	"NA"	"37"	"Salamanca"
"CPRO"	"D"	"NA"	"38"	"Santa Cruz de Tenerife"
"CPRO"	"D"	"NA"	"39"	"Cantabria"
"CPRO"	"D"	"NA"	"40"	"Segovia"
"CPRO"	"D"	"NA"	"41"	"Sevilla"
"CPRO"	"D"	"NA"	"42"	"Soria"
"CPRO"	"D"	"NA"	"43"	"Tarragona"
"CPRO"	"D"	"NA"	"44"	"Teruel"
"CPRO"	"D"	"NA"	"45"	"Toledo"
"CPRO"	"D"	"NA"	"46"	"Valencia/València"
"CPRO"	"D"	"NA"	"47"	"Valladolid"
"CPRO"	"D"	"NA"	"48"	"Bizkaia"
"CPRO"	"D"	"NA"	"49"	"Zamora"
"CPRO"	"D"	"NA"	"50"	"Zaragoza"
"CPRO"	"D"	"NA"	"51"	"Ceuta"
"CPRO"	"D"	"NA"	"52"	"Melilla"
"CMUN"	"D"	"NA"	"01002"	"Amurrio"
"CMUN"	"D"	"NA"	"01036"	"Laudio/Llodio"
"CMUN"	"D"	"NA"	"01059"	"Vitoria-Gasteiz"
"CMUN"	"D"	"NA"	"02003"	"Albacete"
"CMUN"	"D"	"NA"	"02009"	"Almansa"
"CMUN"	"D"	"NA"	"02025"	"Caudete"
"CMUN"	"D"	"NA"	"02037"	"Hellín"
"CMUN"	"D"	"NA"	"02069"	"Roda, La"
"CMUN"	"D"	"NA"	"02081"	"Villarrobledo"
"CMUN"	"D"	"NA"	"03005"	"Albatera"
"CMUN"	"D"	"NA"	"03009"	"Alcoy/Alcoi"
"CMUN"	"D"	"NA"	"03011"	"Alfàs del Pi, l'"
"CMUN"	"D"	"NA"	"03014"	"Alicante/Alacant"
"CMUN"	"D"	"NA"	"03015"	"Almoradí"
"CMUN"	"D"	"NA"	"03018"	"Altea"
"CMUN"	"D"	"NA"	"03019"	"Aspe"
"CMUN"	"D"	"NA"	"03031"	"Benidorm"
"CMUN"	"D"	"NA"	"03041"	"Benissa"
"CMUN"	"D"	"NA"	"03047"	"Calp"
"CMUN"	"D"	"NA"	"03049"	"Callosa de Segura"
"CMUN"	"D"	"NA"	"03050"	"Campello, el"
"CMUN"	"D"	"NA"	"03056"	"Cocentaina"
"CMUN"	"D"	"NA"	"03059"	"Crevillent"
"CMUN"	"D"	"NA"	"03063"	"Dénia"
"CMUN"	"D"	"NA"	"03065"	"Elche/Elx"
"CMUN"	"D"	"NA"	"03066"	"Elda"
"CMUN"	"D"	"NA"	"03076"	"Guardamar del Segura"
"CMUN"	"D"	"NA"	"03079"	"Ibi"
"CMUN"	"D"	"NA"	"03082"	"Jávea/Xàbia"
"CMUN"	"D"	"NA"	"03089"	"Monóvar/Monòver"
"CMUN"	"D"	"NA"	"03090"	"Mutxamel"
"CMUN"	"D"	"NA"	"03093"	"Novelda"
